timestamp_ns,symbol,best_bid,best_ask,spread,bid_volume,ask_volume,bid_levels,ask_levels,total_orders
16540593401326,AMZN,18510000,18569900,59900,30,20,24,14,46
16540593401326,GOOGL,14364100,14423700,59600,50,12,10,5,16
16540593401326,MSFT,1739400,1741900,2500,82,100,37,31,97
16540593401326,TSLA,6420000,6427900,7900,95,100,160,73,432
16550225425175,AAPL,3217500,3219000,1500,20,40,45,36,108
16550225425175,AMZN,18510000,18569900,59900,30,20,24,14,46
16550225425175,GOOGL,14364100,14430000,65900,50,20,10,4,15
16550225425175,MSFT,1739400,1741900,2500,82,100,37,31,97
16550225425175,TSLA,6420000,6427900,7900,95,100,160,73,435
16560235042013,AAPL,3216900,3219000,2100,20,40,45,37,109
16560235042013,AMZN,18510000,18569900,59900,30,20,24,14,46
16560235042013,GOOGL,14364100,14429400,65300,50,38,10,5,16
16560235042013,MSFT,1739400,1741900,2500,82,100,37,31,97
16560235042013,TSLA,6420000,6427900,7900,45,100,160,73,434
16570103639331,AAPL,3216900,3219500,2600,20,400,45,36,107
16570103639331,AMZN,18510000,18569900,59900,30,20,24,14,46
16570103639331,GOOGL,14364100,14429400,65300,50,38,10,5,16
16570103639331,MSFT,1739400,1741900,2500,82,100,36,31,96
16570103639331,TSLA,6420000,6427900,7900,45,100,162,73,436
16581075607516,AAPL,3216900,3219900,3000,20,16,45,35,106
16581075607516,AMZN,18510000,18569900,59900,30,20,23,14,45
16581075607516,GOOGL,14364100,14424700,60600,50,24,10,5,16
16581075607516,MSFT,1739400,1741900,2500,82,100,37,31,97
16581075607516,TSLA,6420000,6427900,7900,45,100,163,73,438
16590593223245,AAPL,3216900,3219900,3000,20,16,45,34,105
16590593223245,AMZN,18510000,18569900,59900,30,20,24,14,46
16590593223245,GOOGL,14364100,14424700,60600,50,24,10,5,16
16590593223245,MSFT,1739400,1741900,2500,82,100,37,31,97
16590593223245,TSLA,6420000,6427900,7900,45,100,163,74,439
16600255484909,AAPL,3216900,3217600,700,51,100,44,36,107
16600255484909,AMZN,18510000,18569800,59800,30,20,24,13,45
16600255484909,GOOGL,14364100,14429700,65600,50,24,10,5,16
16600255484909,MSFT,1739400,1741900,2500,82,100,37,31,97
16600255484909,TSLA,6420000,6427900,7900,45,100,162,74,440
16611574252542,AAPL,3216900,3217600,700,51,100,44,34,105
16611574252542,AMZN,18510000,18569800,59800,30,20,24,14,46
16611574252542,GOOGL,14364100,14429700,65600,50,24,10,5,16
16611574252542,MSFT,1739400,1741900,2500,82,100,37,31,97
16611574252542,TSLA,6420000,6427900,7900,45,100,163,74,441
16620102511072,AAPL,3216900,3217600,700,51,100,43,35,106
16620102511072,AMZN,18510000,18579900,69900,30,20,23,14,45
16620102511072,GOOGL,14364100,14429700,65600,50,24,10,5,16
16620102511072,MSFT,1739400,1741000,1600,82,6,37,32,98
16620102511072,TSLA,6420000,6430000,10000,45,5,163,73,440
16630451288949,AAPL,3216900,3217600,700,51,100,43,35,106
16630451288949,AMZN,18510000,18560300,50300,30,20,24,13,45
16630451288949,GOOGL,14364100,14429700,65600,50,24,10,5,16
16630451288949,MSFT,1739400,1741000,1600,82,6,37,32,98
16630451288949,TSLA,6420000,6430000,10000,65,105,164,73,442
16641117756692,AAPL,3216900,3217600,700,20,100,45,35,106
16641117756692,AMZN,18510000,18579900,69900,30,20,23,14,45
16641117756692,GOOGL,14364100,14429700,65600,50,24,10,5,16
16641117756692,MSFT,1739400,1741000,1600,82,6,37,32,98
16641117756692,TSLA,6420000,6430000,10000,65,105,164,73,444
16650041816442,AAPL,3215900,3217600,1700,31,100,44,34,104
16650041816442,AMZN,18510000,18579900,69900,30,20,25,14,47
16650041816442,GOOGL,14364100,14429700,65600,50,24,10,5,16
16650041816442,MSFT,1739400,1741000,1600,82,6,37,32,98
16650041816442,TSLA,6420000,6429000,9000,65,100,164,74,444
16660389083691,AAPL,3215100,3216900,1800,63,182,42,34,103
16660389083691,AMZN,18510000,18579900,69900,30,20,25,14,47
16660389083691,GOOGL,14364100,14429700,65600,50,24,10,5,16
16660389083691,MSFT,1739400,1741000,1600,82,6,37,32,98
16660389083691,TSLA,6420000,6429000,9000,65,100,164,74,443
16670254885554,AAPL,3215100,3216900,1800,63,182,44,35,106
16670254885554,AMZN,18510000,18579900,69900,30,20,25,15,48
16670254885554,GOOGL,14364100,14429500,65400,50,24,10,5,16
16670254885554,MSFT,1739400,1741800,2400,82,6,37,32,99
16670254885554,TSLA,6424000,6429000,5000,15,194,165,74,444
16680301362400,AAPL,3215100,3216900,1800,63,182,44,35,106
16680301362400,AMZN,18510000,18579900,69900,30,20,25,15,48
16680301362400,GOOGL,14373200,14429200,56000,29,50,10,5,16
16680301362400,MSFT,1739500,1741800,2300,82,6,37,31,100
16680301362400,TSLA,6420000,6422500,2500,63,3,164,75,444
16690885848143,AAPL,3215100,3216900,1800,86,150,44,35,106
16690885848143,AMZN,18510000,18579900,69900,30,20,25,15,48
16690885848143,GOOGL,14373200,14429200,56000,29,50,10,5,16
16690885848143,MSFT,1739500,1741800,2300,82,6,37,32,100
16690885848143,TSLA,6424000,6429000,5000,17,181,164,74,443
16700128392576,AAPL,3213500,3215000,1500,100,100,43,35,105
16700128392576,AMZN,18511300,18579900,68600,5,20,26,15,49
16700128392576,GOOGL,14373200,14429200,56000,29,50,10,5,16
16700128392576,MSFT,1739500,1741800,2300,82,6,37,32,101
16700128392576,TSLA,6424000,6429000,5000,17,181,164,74,442
16711507950440,AAPL,3213500,3216900,3400,100,150,44,34,104
16711507950440,AMZN,18511300,18579900,68600,5,20,26,15,49
16711507950440,GOOGL,14373200,14429200,56000,29,50,10,5,16
16711507950440,MSFT,1739500,1741800,2300,82,6,37,32,101
16711507950440,TSLA,6424000,6429000,5000,34,281,164,74,445
16720684779932,AAPL,3213500,3216900,3400,100,150,44,34,105
16720684779932,AMZN,18511300,18579900,68600,5,20,26,15,49
16720684779932,GOOGL,14373500,14429200,55700,34,24,10,5,16
16720684779932,MSFT,1739500,1741800,2300,82,6,37,32,101
16720684779932,TSLA,6424000,6429000,5000,9,281,165,74,445
16730325888410,AAPL,3213500,3216900,3400,100,150,44,34,105
16730325888410,AMZN,18511300,18579900,68600,5,20,26,15,49
16730325888410,GOOGL,14373500,14429200,55700,34,24,10,5,16
16730325888410,MSFT,1739500,1741800,2300,82,6,38,32,102
16730325888410,TSLA,6424000,6429000,5000,8,481,166,75,449
16740017645739,AAPL,3213500,3216900,3400,100,150,44,34,104
16740017645739,AMZN,18511300,18579900,68600,5,20,26,15,49
16740017645739,GOOGL,14373500,14429200,55700,34,24,10,5,16
16740017645739,MSFT,1739500,1740000,500,82,30,38,33,103
16740017645739,TSLA,6420000,6424000,4000,68,192,165,76,449
16751031422449,AAPL,3213500,3216000,2500,100,100,44,34,103
16751031422449,AMZN,18511300,18579900,68600,5,20,26,15,49
